timestamp,STF/GDPRYOY_F/EUZ
2020-01-01,-2.8244723745706217
2020-04-01,-13.956885875960806
2020-07-01,-4.095493179117992
2020-10-01,-3.750918575628162
2021-01-01,0.16989745976218618
2021-04-01,15.2569199532521
2021-07-01,5.113615193250241
2021-10-01,5.55584174366646
2022-01-01,5.475413803490644
2022-04-01,4.1078481517005745
2022-07-01,2.8532558293542265
2022-10-01,1.959160237599876
2023-01-01,1.4067214091135487
2023-04-01,0.5657919986067433
2023-07-01,-0.0274375395232826
2023-10-01,0.108912304871021
2024-01-01,0.44164793815163456
2024-04-01,0.5397324427944107
2024-07-01,0.945959668841966
2024-10-01,0.9279126786062969
2025-01-01,0.9
2025-04-01,0.9
2025-07-01,0.7
2025-10-01,0.9
2026-01-01,1