ticker,gics_sector_name
1340426D GY Equity,
1654144D SE Equity,Materials
1844030D NA Equity,Consumer Staples
1856607D IM Equity,Consumer Staples
1CNHI IM Equity,Industrials
1COV GY Equity,Materials
2974820Q GY Equity,
926002Q GY Equity,
A2A IM Equity,Utilities
A3M SM Equity,Communication Services
AA/ LN Equity,Consumer Discretionary
AAK SS Equity,Consumer Staples
AAL LN Equity,Materials
AALB NA Equity,Industrials
ABBN SE Equity,Industrials
ABDN LN Equity,Financials
ABF LN Equity,Consumer Staples
ABG/P SM Equity,Industrials
ABI BB Equity,Consumer Staples
ABN NA Equity,Financials
AC FP Equity,Consumer Discretionary
ACA FP Equity,Financials
ACE IM Equity,Utilities
ACKB BB Equity,Industrials
ACLN SE Equity,Industrials
ACS SM Equity,Industrials
ACX SM Equity,Materials
AD NA Equity,Consumer Staples
ADDTB SS Equity,Industrials
ADE NO Equity,Communication Services
ADEN SE Equity,Industrials
ADJ GY Equity,Real Estate
ADM LN Equity,Financials
ADP FP Equity,Industrials
ADS GY Equity,Consumer Discretionary
ADYEN NA Equity,Financials
AED BB Equity,Real Estate
AENA SM Equity,Industrials
AF FP Equity,Industrials
AFB SS Equity,Industrials
AFRY SS Equity,Industrials
AFX GY Equity,Health Care
AG1 GY Equity,Consumer Discretionary
AGFB BB Equity,Health Care
AGK LN Equity,Industrials
AGL IM Equity,Consumer Discretionary
AGN NA Equity,Financials
AGR LN Equity,Real Estate
AGS BB Equity,Financials
AHT LN Equity,Industrials
AI FP Equity,Materials
AIBG ID Equity,Financials
AIR FP Equity,Industrials
AIXA GY Equity,Information Technology
AKAST NO Equity,Energy
AKE FP Equity,Materials
AKRBP NO Equity,Energy
AKSO NO Equity,Energy
AKZA NA Equity,Materials
ALB SM Equity,Financials
ALC SE Equity,Health Care
ALE PW Equity,Consumer Discretionary
ALFA SS Equity,Industrials
ALFEN NA Equity,Industrials
ALIFB SS Equity,Health Care
ALIV SS Equity,Consumer Discretionary
ALKB DC Equity,Health Care
ALLFG NA Equity,Financials
ALLN SE Equity,Real Estate
ALO FP Equity,Industrials
ALPH SE Equity,Utilities
ALPHA GA Equity,Financials
ALT FP Equity,Information Technology
ALT GY Equity,
ALV GY Equity,Financials
AM FP Equity,Industrials
AMBUB DC Equity,Health Care
AMEAS FH Equity,Consumer Discretionary
AMP IM Equity,Health Care
AMS SE Equity,Information Technology
AMS SM Equity,Consumer Discretionary
AMUN FP Equity,Financials
ANA SM Equity,Utilities
ANDR AV Equity,Industrials
ANE SM Equity,Utilities
ANTO LN Equity,Materials
AOX GY Equity,Real Estate
APAM NA Equity,Materials
ARCAD NA Equity,Industrials
ARGX BB Equity,Health Care
ARL GY Equity,Financials
ARO GY Equity,Consumer Discretionary
ARYN SE Equity,Consumer Staples
ASHM LN Equity,Financials
ASM NA Equity,Information Technology
ASML NA Equity,Information Technology
ASRNL NA Equity,Financials
ASSAB SS Equity,Industrials
AT1 GY Equity,Real Estate
ATC NA Equity,Communication Services
ATCOA SS Equity,Industrials
ATE FP Equity,Information Technology
ATL IM Equity,Industrials
ATLN SE Equity,Health Care
ATO FP Equity,Information Technology
ATRS AV Equity,Real Estate
AUTO LN Equity,Communication Services
AUTO NO Equity,Industrials
AV/ LN Equity,Financials
AVOL SE Equity,Consumer Discretionary
AVST LN Equity,Information Technology
AVV LN Equity,Information Technology
AXFO SS Equity,Consumer Staples
AZA SS Equity,Financials
AZE BB Equity,Industrials
AZM IM Equity,Financials
AZN LN Equity,Health Care
B4B GY Equity,Consumer Staples
BA/ LN Equity,Industrials
BAB LN Equity,Industrials
BAER SE Equity,Financials
BAKKA NO Equity,Consumer Staples
BALDB SS Equity,Real Estate
BALN SE Equity,Financials
BAMI IM Equity,Financials
BAMNB NA Equity,Industrials
BANB SE Equity,Health Care
BARC LN Equity,Financials
BARN SE Equity,Consumer Staples
BAS GY Equity,Materials
BATS LN Equity,Consumer Staples
BAVA DC Equity,Health Care
BAYN GY Equity,Health Care
BB FP Equity,Industrials
BBOX LN Equity,Real Estate
BBVA SM Equity,Financials
BBY LN Equity,Industrials
BC IM Equity,Consumer Discretionary
BC8 GY Equity,Information Technology
BCP PL Equity,Financials
BCVN SE Equity,Financials
BDEV LN Equity,Consumer Discretionary
BEAN SE Equity,Industrials
BEFB BB Equity,Real Estate
BEI GY Equity,Consumer Staples
BEIJB SS Equity,Industrials
BEKB BB Equity,Materials
BESI NA Equity,Information Technology
BEZ LN Equity,Financials
BG AV Equity,Financials
BHP LN Equity,Materials
BILL SS Equity,Materials
BIM FP Equity,Health Care
BION SE Equity,Health Care
BIRG ID Equity,Financials
BKG LN Equity,Consumer Discretionary
BKIA SM Equity,Financials
BKT SM Equity,Financials
BKW SE Equity,Utilities
BKWN SE Equity,
BLND LN Equity,Real Estate
BME LN Equity,Consumer Discretionary
BME SM Equity,Financials
BMPS IM Equity,Financials
BMW GY Equity,Consumer Discretionary
BN FP Equity,Consumer Staples
BNB BB Equity,Financials
BNP FP Equity,Financials
BNR GY Equity,Industrials
BNZL LN Equity,Industrials
BOKA NA Equity,Industrials
BOL FP Equity,Communication Services
BOL SS Equity,Materials
BOSS GY Equity,Consumer Discretionary
BOY LN Equity,Industrials
BP/ LN Equity,Energy
BPE IM Equity,Financials
BPOST BB Equity,Industrials
BPSO IM Equity,Financials
BPT LN Equity,Financials
BRBY LN Equity,Consumer Discretionary
BSLN SE Equity,Health Care
BT/A LN Equity,Communication Services
BTG LN Equity,Health Care
BUCN SE Equity,Industrials
BVI FP Equity,Industrials
BVIC LN Equity,Consumer Staples
BWY LN Equity,Consumer Discretionary
BYG LN Equity,Real Estate
BZU IM Equity,Materials
CA FP Equity,Consumer Staples
CABK SM Equity,Financials
CAF FP Equity,Financials
CAP FP Equity,Information Technology
CAPC LN Equity,Real Estate
CARLB DC Equity,Consumer Staples
CASS IM Equity,Financials
CAST SS Equity,Real Estate
CBG LN Equity,Financials
CBK GY Equity,Financials
CCC LN Equity,Information Technology
CCH LN Equity,Consumer Staples
CCL LN Equity,Consumer Discretionary
CDI FP Equity,Consumer Discretionary
CDR PW Equity,Communication Services
CEC GY Equity,Consumer Discretionary
CEPN SE Equity,
CEY LN Equity,Materials
CEZ CK Equity,Utilities
CFR SE Equity,Consumer Discretionary
CGCBV FH Equity,Industrials
CGG FP Equity,Energy
CGL LN Equity,Financials
CHG LN Equity,Industrials
CHR DC Equity,Materials
CHRN SE Equity,
CINE LN Equity,Communication Services
CLDN LN Equity,Financials
CLN SE Equity,Materials
CLNX SM Equity,Communication Services
CLS1 GY Equity,Health Care
CMBN SE Equity,Financials
CNA LN Equity,Utilities
CNE LN Equity,Energy
CNP FP Equity,Financials
CO FP Equity,Consumer Staples
COB LN Equity,Industrials
COFB BB Equity,Real Estate
COK GY Equity,Information Technology
COL SM Equity,Real Estate
COLOB DC Equity,Health Care
COLR BB Equity,Consumer Staples
CON GY Equity,Consumer Discretionary
COTN SE Equity,Information Technology
COV FP Equity,Real Estate
CPG LN Equity,Consumer Discretionary
CPI LN Equity,Industrials
CPR IM Equity,Consumer Staples
CRBN NA Equity,Materials
CRDA LN Equity,Materials
CRG IM Equity,Financials
CRH LN Equity,Materials
CS FP Equity,Financials
CSGN SE Equity,Financials
CSP LN Equity,Consumer Discretionary
CTEC LN Equity,Health Care
CVAL IM Equity,Financials
CWK LN Equity,Consumer Staples
CZZ GY Equity,
DAI GY Equity,Consumer Discretionary
DANSKE DC Equity,Financials
DARK LN Equity,Information Technology
DB1 GY Equity,Financials
DB11 GY Equity,Financials
DBK GY Equity,Financials
DC/ LN Equity,Consumer Discretionary
DCC LN Equity,Industrials
DCG LN Equity,Consumer Staples
DEB LN Equity,Consumer Discretionary
DEC FP Equity,Communication Services
DEMANT DC Equity,Health Care
DEQ GY Equity,Real Estate
DEXB BB Equity,Financials
DG FP Equity,Industrials
DGE LN Equity,Consumer Staples
DHER GY Equity,Consumer Discretionary
DHL GY Equity,Industrials
DIA IM Equity,Health Care
DIA SM Equity,Consumer Staples
DIE BB Equity,Consumer Discretionary
DIM FP Equity,Health Care
DKSH SE Equity,Industrials
DLAR LN Equity,Industrials
DLG GY Equity,Information Technology
DLG LN Equity,Financials
DLN LN Equity,Real Estate
DMGT LN Equity,Communication Services
DMSN SE Equity,
DNB NO Equity,Financials
DNBH NO Equity,Financials
DNORD DC Equity,Industrials
DNP PW Equity,Consumer Staples
DOCS LN Equity,Consumer Discretionary
DOKA SE Equity,Industrials
DOM LN Equity,Consumer Discretionary
DOM SS Equity,Consumer Discretionary
DPB GY Equity,Financials
DPH LN Equity,Health Care
DPLM LN Equity,Industrials
DRI GY Equity,Communication Services
DRX LN Equity,Utilities
DSFIR NA Equity,Materials
DSM NA Equity,Materials
DSV DC Equity,Industrials
DSY FP Equity,Information Technology
DTE GY Equity,Communication Services
DTG GY Equity,Industrials
DUE GY Equity,Industrials
DWL LN Equity,Consumer Discretionary
DWNI GY Equity,Real Estate
EAC DC Equity,Industrials
EBRO SM Equity,Consumer Staples
EBS AV Equity,Financials
ECM LN Equity,Industrials
ECMPA NA Equity,Real Estate
ECV GY Equity,Utilities
EDEN FP Equity,Financials
EDF FP Equity,Utilities
EDP PL Equity,Utilities
EDPR PL Equity,Utilities
EEE GA Equity,Consumer Staples
EFGN SE Equity,Financials
EIG LN Equity,Consumer Discretionary
EKTAB SS Equity,Health Care
EL FP Equity,Health Care
ELE SM Equity,Utilities
ELI BB Equity,Utilities
ELIOR FP Equity,Consumer Discretionary
ELIS FP Equity,Industrials
ELISA FH Equity,Communication Services
ELM LN Equity,Materials
ELUXB SS Equity,Consumer Discretionary
EMBRACB SS Equity,Communication Services
EMG LN Equity,Financials
EMSN SE Equity,Materials
EN FP Equity,Industrials
ENEL IM Equity,Utilities
ENG SM Equity,Utilities
ENGI FP Equity,Utilities
ENI IM Equity,Energy
ENOG LN Equity,Energy
ENR GY Equity,Industrials
ENRO SS Equity,Communication Services
ENT LN Equity,Consumer Discretionary
ENTRA NO Equity,Real Estate
ENX FP Equity,Financials
EOAN GY Equity,Utilities
EPC GY Equity,
EPIA SS Equity,Industrials
EQNR NO Equity,Energy
EQT SS Equity,Financials
ERA FP Equity,Materials
ERF FP Equity,Health Care
ERICB SS Equity,Information Technology
ESNT LN Equity,Materials
ESSITYB SS Equity,Consumer Staples
ETE GA Equity,Financials
ETL FP Equity,Communication Services
EURN BB Equity,Energy
EUROB GA Equity,Financials
EVD GY Equity,Communication Services
EVK GY Equity,Materials
EVO SS Equity,Consumer Discretionary
EVR LN Equity,Materials
EVT GY Equity,Health Care
EXO IM Equity,Financials
EXO NA Equity,Financials
EXPN LN Equity,Industrials
EXR LN Equity,Information Technology
EZJ LN Equity,Industrials
FABG SS Equity,Real Estate
FAE SM Equity,Health Care
FBK IM Equity,Financials
FCC SM Equity,Industrials
FDJ FP Equity,Consumer Discretionary
FDR SM Equity,Industrials
FER SM Equity,Industrials
FERG LN Equity,Industrials
FGP LN Equity,Industrials
FGR FP Equity,Industrials
FHZN SE Equity,Industrials
FINGB SS Equity,Information Technology
FLS DC Equity,Industrials
FLTR LN Equity,Consumer Discretionary
FME GY Equity,Health Care
FNOX SS Equity,Information Technology
FNTN GY Equity,Communication Services
FORTUM FH Equity,Utilities
FP FP Equity,Energy
FPE3 GY Equity,Materials
FR FP Equity,Consumer Discretionary
FRA GY Equity,Industrials
FRAS LN Equity,Consumer Discretionary
FRE GY Equity,Health Care
FRE3 GY Equity,Health Care
FRES LN Equity,Materials
FRO NO Equity,Energy
FRVIA FP Equity,Consumer Discretionary
FTI FP Equity,Energy
FUR NA Equity,Industrials
FUTR LN Equity,Communication Services
G IM Equity,Financials
G1A GY Equity,Industrials
G24 GY Equity,Communication Services
GALD SE Equity,Health Care
GALE SE Equity,Health Care
GALP PL Equity,Energy
GAM SE Equity,Financials
GAW LN Equity,Consumer Discretionary
GBB FP Equity,Energy
GBF GY Equity,Industrials
GBLB BB Equity,Financials
GCC ID Equity,Consumer Staples
GE1 GY Equity,
GEBN SE Equity,Industrials
GENL LN Equity,Energy
GET FP Equity,Industrials
GETIB SS Equity,Health Care
GF SE Equity,Industrials
GFC FP Equity,Real Estate
GFS LN Equity,Industrials
GFTU LN Equity,Industrials
GIB GY Equity,Real Estate
GIVN SE Equity,Materials
GJF NO Equity,Financials
GLB ID Equity,Consumer Staples
GLE FP Equity,Financials
GLEN LN Equity,Materials
GLJ GY Equity,Financials
GLPG NA Equity,Health Care
GMAB DC Equity,Health Care
GN DC Equity,Consumer Discretionary
GNK LN Equity,Consumer Discretionary
GNS LN Equity,Health Care
GPOR LN Equity,Real Estate
GRF SM Equity,Health Care
GRG LN Equity,Consumer Discretionary
GRI LN Equity,Real Estate
GSK LN Equity,Health Care
GTO NA Equity,Information Technology
GTT FP Equity,Energy
GXI GY Equity,Health Care
GYC GY Equity,Real Estate
HAS LN Equity,Industrials
HBR LN Equity,Energy
HDD GY Equity,Industrials
HEI GY Equity,Materials
HEIA NA Equity,Consumer Staples
HEIO NA Equity,Consumer Staples
HELN SE Equity,Financials
HEM SS Equity,Communication Services
HEN3 GY Equity,Consumer Staples
HER IM Equity,Utilities
HEXAB SS Equity,Information Technology
HFD LN Equity,Consumer Discretionary
HFG GY Equity,Consumer Staples
HIK LN Equity,Health Care
HL/ LN Equity,Financials
HLE GY Equity,Consumer Discretionary
HLMA LN Equity,Information Technology
HLN LN Equity,Consumer Staples
HMB SS Equity,Consumer Discretionary
HMSO LN Equity,Real Estate
HNR1 GY Equity,Financials
HO FP Equity,Industrials
HOLMB SS Equity,Materials
HOLN SE Equity,Materials
HOT GY Equity,Industrials
HPOLB SS Equity,Materials
HRX GY Equity,
HSBA LN Equity,Financials
HSV LN Equity,Industrials
HSX LN Equity,Financials
HTG LN Equity,Energy
HTO GA Equity,Communication Services
HTRO SS Equity,Industrials
HUFVA SS Equity,Real Estate
HUH1V FH Equity,Materials
HUSQB SS Equity,Industrials
HVM GY Equity,
HWDN LN Equity,Industrials
IAG LN Equity,Industrials
IBE SM Equity,Utilities
ICA SS Equity,Consumer Staples
ICAD FP Equity,Real Estate
ICG LN Equity,Financials
IDIA SE Equity,Health Care
IDR SM Equity,Information Technology
IDS LN Equity,Industrials
IFCN SE Equity,Information Technology
IFX GY Equity,Information Technology
IG IM Equity,Utilities
IGG LN Equity,Financials
IGY GY Equity,Utilities
IHG LN Equity,Consumer Discretionary
IIA AV Equity,Real Estate
III LN Equity,Financials
IL0A ID Equity,Financials
ILD FP Equity,Communication Services
IMB LN Equity,Consumer Staples
IMCD NA Equity,Industrials
IMI LN Equity,Industrials
INCH LN Equity,Consumer Discretionary
INDT SS Equity,Industrials
INDUA SS Equity,Financials
INDUC SS Equity,Financials
INDV LN Equity,Health Care
INF LN Equity,Communication Services
ING FP Equity,Information Technology
INGA NA Equity,Financials
INM ID Equity,Communication Services
INPST NA Equity,Industrials
INRN SE Equity,Industrials
INTRK GA Equity,Industrials
INTRUM SS Equity,Industrials
INTU LN Equity,Real Estate
INVEB SS Equity,Financials
INVP LN Equity,Financials
INW IM Equity,Communication Services
IOL IM Equity,Communication Services
IP IM Equity,Industrials
IPF LN Equity,Financials
IPN FP Equity,Health Care
IPS FP Equity,Communication Services
IRV LN Equity,Industrials
ISAT LN Equity,Communication Services
ISP IM Equity,Financials
ISS DC Equity,Industrials
ITRK LN Equity,Industrials
ITV LN Equity,Communication Services
ITX SM Equity,Consumer Discretionary
IVG GY Equity,Real Estate
IVG IM Equity,Industrials
IWG LN Equity,Real Estate
JD/ LN Equity,Consumer Discretionary
JDEP NA Equity,Consumer Staples
JDW LN Equity,Consumer Discretionary
JE/ LN Equity,Consumer Discretionary
JLT LN Equity,Financials
JM SS Equity,Consumer Discretionary
JMAT LN Equity,Materials
JMT PL Equity,Consumer Staples
JUP LN Equity,Financials
JYSK DC Equity,Financials
KAZ LN Equity,Materials
KBC BB Equity,Financials
KBCA BB Equity,Financials
KBX GY Equity,Industrials
KCO GY Equity,Industrials
KCR FH Equity,Industrials
KD8 GY Equity,Communication Services
